inst,ground_truth
"andeq r0, r0, r3 ",1
"andeq r0, r0, r2, lsl sb ",1
"andeq r0, r0, r0, asr r1 ",1
"andeq r0, r0, r5, lsr 1 ",1
"andeq r0, r0, sl ",1
"andeq r0, r0, r0, lsl r0 ",1
"andeq r0, r0, r0, lsl 1 ",1
"andeq r0, r0, r0 ",1
"andeq r0, r0, r4, ror 9 ",1
"andeq r0, r0, r8 ",1
"andeq r1, r0, r4 ",1
"andeq r0, r0, r0, lsl r7 ",1
invalid ,1
"andeq r0, r0, r0 ",1
"andeq sb, r3, r5, asr 20 ",1
"strdeq r0, r1, [r0], -pc ",1
"andeq r0, r0, r1 ",1
"andeq r0, r0, r4, lsl 18 ",1
"andeq r0, r0, r0 ",1
"andeq r0, r0, r0 ",1
"mov ip, sp ",0
"push {fp, ip, lr} ",0
"mov fp, ip ",0
"push {r0, r1, r2, r3, r4, r5, r6, r7, r8, sb, sl, fp, ip, lr} ",0
"ldr r8, [0x00000448] ",0
"strb r0, [r8] ",0
"mov r1, 0 ",0
"ldr r2, [0x00000444] ",0
"ldrb r3, [r2] ",0
"cmp r1, 0 ",0
beq 0x8c ,0
"mov r0, r0 ",0
"orr r3, r3, 1 ",0
b 0x94 ,0
"mov r0, r0 ",0
"mov r0, r0 ",0
"bic r3, r3, 1 ",0
"mov r0, r0 ",0
"strb r3, [r2] ",0
"mov r1, 0 ",0
"ldr r2, [0x00000444] ",0
"ldrb r3, [r2] ",0
"cmp r1, 0 ",0
beq 0xc0 ,0
"mov r0, r0 ",0
"orr r3, r3, 2 ",0
b 0xc8 ,0
"mov r0, r0 ",0
"mov r0, r0 ",0
"bic r3, r3, 2 ",0
"mov r0, r0 ",0
"strb r3, [r2] ",0
"mov r1, 0 ",0
"ldr r2, [0x00000444] ",0
"ldrb r3, [r2] ",0
"cmp r1, 0 ",0
beq 0xf4 ,0
"mov r0, r0 ",0
"orr r3, r3, 4 ",0
b 0xfc ,0
"mov r0, r0 ",0
"mov r0, r0 ",0
"bic r3, r3, 4 ",0
"mov r0, r0 ",0
"strb r3, [r2] ",0
"mov r1, 0 ",0
"ldr r2, [0x00000444] ",0
"ldrb r3, [r2] ",0
"cmp r1, 0 ",0
beq 0x128 ,0
"mov r0, r0 ",0
"orr r3, r3, 8 ",0
b 0x130 ,0
"mov r0, r0 ",0
"mov r0, r0 ",0
"bic r3, r3, 8 ",0
"mov r0, r0 ",0
"strb r3, [r2] ",0
"mov r1, 0 ",0
"ldr r2, [0x00000444] ",0
"ldrb r3, [r2] ",0
"cmp r1, 0 ",0
beq 0x15c ,0
"mov r0, r0 ",0
"orr r3, r3, 0x10 ",0
b 0x164 ,0
"mov r0, r0 ",0
"mov r0, r0 ",0
"bic r3, r3, 0x10 ",0
"mov r0, r0 ",0
"strb r3, [r2] ",0
"mov r1, 0 ",0
"ldr r2, [0x00000444] ",0
"ldrb r3, [r2] ",0
"cmp r1, 0 ",0
beq 0x190 ,0
"mov r0, r0 ",0
"orr r3, r3, 0x20 ",0
b 0x198 ,0
"mov r0, r0 ",0
"mov r0, r0 ",0
"bic r3, r3, 0x20 ",0
"mov r0, r0 ",0
"strb r3, [r2] ",0
"mov r1, 0 ",0
"ldr r2, [0x00000444] ",0
"ldrb r3, [r2] ",0
"cmp r1, 0 ",0
beq 0x1c4 ,0
"mov r0, r0 ",0
"orr r3, r3, 0x40 ",0
b 0x1cc ,0
"mov r0, r0 ",0
"mov r0, r0 ",0
"bic r3, r3, 0x40 ",0
"mov r0, r0 ",0
"strb r3, [r2] ",0
"mov r1, 0 ",0
"ldr r2, [0x00000444] ",0
"ldrb r3, [r2] ",0
"cmp r1, 0 ",0
beq 0x1f8 ,0
"mov r0, r0 ",0
"orr r3, r3, 0x80 ",0
b 0x200 ,0
"mov r0, r0 ",0
"mov r0, r0 ",0
"bic r3, r3, 0x80 ",0
"mov r0, r0 ",0
"strb r3, [r2] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000444] ",0
"strb r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000440] ",0
"strb r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x0000043c] ",0
"strb r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000438] ",0
"strb r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000434] ",0
"strb r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000444] ",0
"strh r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x0000043c] ",0
"strh r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000434] ",0
"strh r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000430] ",0
"strh r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x0000042c] ",0
"strh r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000444] ",0
"strh r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x0000043c] ",0
"strh r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000434] ",0
"strh r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000430] ",0
"strh r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x0000042c] ",0
"strh r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000444] ",0
"str r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000434] ",0
"str r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x0000042c] ",0
"str r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000428] ",0
"str r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000424] ",0
"str r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000444] ",0
"str r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000434] ",0
"str r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x0000042c] ",0
"str r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000428] ",0
"str r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000424] ",0
"str r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00000444] ",0
"str r1, [r8] ",0
"mov r1, 0 ",0
