inst,ground_truth
"andeq r0, r0, r3 ",1
"andeq r1, r3, sl, ror r2 ",1
"muleq r0, ip, r1 ",1
"andeq r0, r0, r5, lsr 1 ",1
"andeq r0, r0, sl, lsl r0 ",1
"andeq r0, r0, r5, lsl r0 ",1
"andeq r0, r0, r0, lsl 1 ",1
"andeq r0, r0, r0 ",1
"andeq pc, r2, ip, ror fp ",1
"andeq r0, r0, r8 ",1
"andeq r1, r0, r4 ",1
"andeq r0, r3, r0, lsl 11 ",1
invalid ,1
"strdeq r1, r2, [r0], -r7 ",1
"cmpeq r2, r5, ror 27 ",1
"strdeq r0, r1, [r0], -pc ",1
"andeq r0, r0, r1 ",1
"andeq r1, r3, ip, ror 4 ",1
"andeq r0, r0, r0 ",1
"andeq r0, r0, r0 ",1
"mov ip, sp ",0
"push {fp, ip, lr} ",0
"mov fp, ip ",0
"push {r0, r1, r2, r3, r4, r5, r6, r7, r8, sb, sl, fp, ip, lr} ",0
"ldr r8, [0x00001058] ",0
"strb r0, [r8] ",0
"ldrb r1, [r8] ",0
"str r0, [sp, -4]! ",0
"ldr r8, [0x00001054] ",0
"mov r0, r8 ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x00001050] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r0} ,0
"mov r1, r0 ",0
"ldr r8, [0x0000104c] ",0
"strb r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00001048] ",0
"strb r1, [r8] ",0
"ldr r8, [0x00001058] ",0
"ldrb r1, [r8] ",0
"str r0, [sp, -4]! ",0
"ldr r8, [0x00001044] ",0
"mov r0, r8 ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x00001040] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r0} ,0
"mov r1, r0 ",0
"ldr r8, [0x0000104c] ",0
"strb r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x0000103c] ",0
"strb r1, [r8] ",0
"mov r1, 0 ",0
"strb r1, [r8, 1] ",0
"mov r1, 0 ",0
"strb r1, [r8, 2] ",0
"mov r1, 2 ",0
"strh r1, [r8, 4] ",0
"mov r1, 3 ",0
"strh r1, [r8, 6] ",0
"mov r1, 1 ",0
"strb r1, [r8, 3] ",0
"mov r1, 2 ",0
"strb r1, [r8, 8] ",0
"mov r2, lr ",0
bl 0x184 ,0
"ldclvs p15, c3, [r8, -0xf0]! ",1
"ldrbvs r2, [r6, -0x6c]! ",1
svcvs 0x697372 ,1
invalid ,1
"eorhs r3, r2, lr, lsr 32 ",1
svcvs 0x636e65 ,1
"strbvs r6, [lr, -r4, ror 18]! ",1
"movtpl r2, 0x923d ",1
"ldmdalo r8!, {r0, r1, r2, r3, r6, r8, sl, fp, sp} ",1
invalid ,1
"ldceq p15, c3, [lr, -0x88]! ",1
"andeq r0, r0, sl ",1
"mov r1, lr ",0
"mov lr, r2 ",0
"add r2, r8, 9 ",0
"mov r4, 0 ",0
"mov r0, r0 ",0
"mov r3, 0x2e ",0
"cmp r4, r3 ",0
"movhs r3, 1 ",0
"movlo r3, 0 ",0
"cmp r3, 0 ",0
bne 0x1c8 ,0
"mov r0, r0 ",0
"ldrb r3, [r1, r4] ",0
"strb r3, [r2, r4] ",0
"add r4, r4, 1 ",0
b 0x194 ,0
"mov r0, r0 ",0
"mov r0, r0 ",0
"mov r2, lr ",0
bl 0x220 ,0
"ldclvs p15, c3, [r8, -0xf0]! ",1
"ldrbtvc r2, [r3], -0xd6c ",1
invalid ,1
"strbtvc r6, [r5], -0x568 ",1
"rsbsvc r7, sb, r0, lsr 8 ",1
"strtvc r3, [r2], -0xd65 ",1
svchs 0x747865 ,1
"rsbhs r7, ip, 120, 6 ",1
"ldrbvs r6, [r2, -0x820]! ",1
svchs 0x223d66 ,1
invalid ,1
svchs 0x767265 ,1
invalid ,1
"strmi r6, [0xfffffffffffffaaa]! ",1
svcvs 0x632d41 ,1
"strbvs r6, [sb, -lr, ror 12]! ",1
"ldclvs p8, c7, [r3], -0xb8 ",1
"cdplo p0, 3, c2, c15, c2, 1 ",1
"andeq r0, r0, sp, lsl 20 ",1
"mov r1, lr ",0
"mov lr, r2 ",0
"ldr r8, [0x00001038] ",0
"mov r2, r8 ",0
"mov r4, 0 ",0
"mov r0, r0 ",0
"mov r3, 0x4b ",0
"cmp r4, r3 ",0
"movhs r3, 1 ",0
"movlo r3, 0 ",0
"cmp r3, 0 ",0
bne 0x268 ,0
"mov r0, r0 ",0
"ldrb r3, [r1, r4] ",0
"strb r3, [r2, r4] ",0
"add r4, r4, 1 ",0
b 0x234 ,0
"mov r0, r0 ",0
"mov r0, r0 ",0
"mov r2, lr ",0
bl 0x280 ,0
