inst,ground_truth
54c46       invalid,1
"movweq r0, 0x1101",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"eoreq r0, r8, r2",1
"andeq r0, r0, r1",1
"andeq r5, r1, r8, lsr 12",1
"andeq r0, r0, r4, lsr r0",1
"andeq sl, r0, ip, lsl r3",1
"streq r0, [r0, -0x202]",1
"eoreq r0, r0, r4, lsr r0",1
"eoreq r0, r8, sb",1
"andseq r0, fp, ip, lsl r0",1
"andvc r0, r0, r1",1
"andeq sb, r0, r4, lsl sb",1
"andeq sb, r1, r4, lsl sb",1
"andeq sb, r1, r4, lsl sb",1
"andeq r0, r0, r8, lsl 2",1
"andeq r0, r0, r8, lsl 2",1
"andeq r0, r0, r4",1
"andeq r0, r0, r4",1
"andeq r0, r0, r6",1
"andeq r0, r0, r4, lsr r0",1
"andeq r0, r1, r4, lsr r0",1
"andeq r0, r1, r4, lsr r0",1
"andeq r0, r0, r0, lsr 2",1
"andeq r0, r0, r0, lsr 2",1
"andeq r0, r0, r5",1
"andeq r0, r0, r4",1
"andeq r0, r0, r3",1
"andeq r0, r0, r4, asr r1",1
"andeq r0, r1, r4, asr r1",1
"andeq r0, r1, r4, asr r1",1
"andeq r0, r0, r3, lsl r0",1
"andeq r0, r0, r3, lsl r0",1
"andeq r0, r0, r4",1
"andeq r0, r0, r1",1
"andeq r0, r0, r1",1
"andeq r0, r0, r0",1
"andeq r0, r1, r0",1
"andeq r0, r1, r0",1
"andeq sb, r0, r0, lsr 20",1
"andeq sb, r0, r0, lsr 20",1
"andeq r0, r0, r5",1
"andeq r0, r1, r0",1
"andeq r0, r0, r1",1
"andeq sb, r0, r8, asr lr",1
"andeq sb, r2, r8, asr lr",1
"andeq sb, r2, r8, asr lr",1
"muleq r0, ip, r3",1
"andeq r0, r0, r0, lsr 13",1
"andeq r0, r0, r6",1
"andeq r0, r1, r0",1
"andeq r0, r0, r2",1
"andeq sb, r0, r8, ror 28",1
"andeq sb, r2, r8, ror 28",1
"andeq sb, r2, r8, ror 28",1
"muleq r0, r8, r1",1
"muleq r0, r8, r1",1
"andeq r0, r0, r6",1
"andeq r0, r0, r4",1
"andeq r0, r0, r4",1
"andeq r0, r0, r8, ror 2",1
"andeq r0, r1, r8, ror 2",1
"andeq r0, r1, r8, ror 2",1
"andeq r0, r0, r4, asr 32",1
"andeq r0, r0, r4, asr 32",1
"andeq r0, r0, r4",1
"andeq r0, r0, r4",1
"ldrbtvs lr, [r4], -0x551",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
