inst,ground_truth
"andeq r0, r0, r3 ",1
"andeq r3, r0, r6, lsr 15 ",1
"andeq r0, r0, r0, asr r1 ",1
"andeq r0, r0, r4, asr 8 ",1
"andeq r0, r0, r2, asr r0 ",1
"andeq r0, r0, r3, lsr r0 ",1
"andeq r0, r0, r0, lsl 1 ",1
"andeq r0, r0, r0 ",1
"andeq r1, r0, r4, lsr fp ",1
"andeq r0, r0, r8 ",1
"andeq r1, r0, r4 ",1
"andeq r1, r0, r0, lsl lr ",1
invalid ,1
"andeq r0, r0, r6, lsl 2 ",1
"andseq r5, r3, sl, lsl 25 ",1
"strdeq r0, r1, [r0], -pc ",1
"andeq r0, r0, r1 ",1
"muleq r0, r8, r1 ",1
"andeq r0, r0, r0 ",1
"andeq r0, r0, r0 ",1
"mov ip, sp ",0
"push {fp, ip, lr} ",0
"mov fp, ip ",0
"push {r0, r1, r2, r3, r4, r5, r6, r7, r8, sb, sl, fp, ip, lr} ",0
"ldr r8, [0x00000a84] ",0
"strb r0, [r8] ",0
"mov r1, 0 ",0
"strb r1, [r8, -0x30] ",0
"mov r1, 0 ",0
"strb r1, [r8, -0x2f] ",0
"mov r1, 0 ",0
"strb r1, [r8, -0x2a] ",0
"ldrb r1, [r8] ",0
"str r0, [sp, -4]! ",0
"ldr r2, [0x00000a80] ",0
"add r0, r8, r2 ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x00000a7c] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r0} ,0
"mov r1, r0 ",0
"strb r1, [r8, -3] ",0
"mov r1, 0 ",0
"strb r1, [r8, -0x29] ",0
"mov r1, 0 ",0
"strb r1, [r8, -0x28] ",0
"mov r1, 0 ",0
"strb r1, [r8, -0x27] ",0
"mov r1, 0 ",0
"str r1, [r8, -0xe] ",0
"mov r1, 0 ",0
"strb r1, [r8, -0xa] ",0
"mov r1, 0 ",0
"strb r1, [r8, -9] ",0
"mov r1, 0 ",0
"strb r1, [r8, -8] ",0
"mov r1, 0 ",0
"strb r1, [r8, -7] ",0
"mov r1, 0 ",0
"strb r1, [r8, -6] ",0
"mov r1, 0 ",0
"strb r1, [r8, -5] ",0
"mov r1, 0 ",0
"strb r1, [r8, -4] ",0
"mov r1, 0 ",0
"strh r1, [r8, -2] ",0
"mov r1, 0 ",0
"strh r1, [r8, -0xc2] ",0
"mov r1, 1 ",0
"strh r1, [r8, -0xc0] ",0
"mov r1, 2 ",0
"strh r1, [r8, -0xbe] ",0
"mov r1, 3 ",0
"strh r1, [r8, -0xbc] ",0
"mov r1, 4 ",0
"strh r1, [r8, -0xba] ",0
"mov r1, 5 ",0
"strh r1, [r8, -0xb8] ",0
"mov r1, 6 ",0
"strh r1, [r8, -0xb6] ",0
"mov r1, 7 ",0
"strh r1, [r8, -0xb4] ",0
"mov r1, 8 ",0
"strh r1, [r8, -0xb2] ",0
"mov r1, 9 ",0
"strh r1, [r8, -0xb0] ",0
"mov r1, 0xa ",0
"strh r1, [r8, -0xae] ",0
"mov r1, 0xb ",0
"strh r1, [r8, -0xac] ",0
"mov r1, 0xc ",0
"strh r1, [r8, -0xaa] ",0
"mov r1, 0xd ",0
"strh r1, [r8, -0xa8] ",0
"mov r1, 0xe ",0
"strh r1, [r8, -0xa6] ",0
"mov r1, 0xf ",0
"strh r1, [r8, -0xa4] ",0
"mov r1, 0x10 ",0
"strh r1, [r8, -0xa2] ",0
"mov r1, 0x11 ",0
"strh r1, [r8, -0xa0] ",0
"mov r1, 0x12 ",0
"strh r1, [r8, -0x9e] ",0
"mov r1, 0x13 ",0
"strh r1, [r8, -0x9c] ",0
"mov r1, 0x14 ",0
"strh r1, [r8, -0x9a] ",0
"mov r1, 0x15 ",0
"strh r1, [r8, -0x98] ",0
"mov r1, 0x16 ",0
"strh r1, [r8, -0x96] ",0
"mov r1, 0x17 ",0
"strh r1, [r8, -0x94] ",0
"mov r1, 0x18 ",0
"strh r1, [r8, -0x92] ",0
"mov r1, 0x19 ",0
"strh r1, [r8, -0x90] ",0
"mov r1, 0x1a ",0
"strh r1, [r8, -0x8e] ",0
"mov r1, 0x1b ",0
"strh r1, [r8, -0x8c] ",0
"mov r1, 0x1c ",0
"strh r1, [r8, -0x8a] ",0
"mov r1, 0x1d ",0
"strh r1, [r8, -0x88] ",0
"mov r1, 0x1e ",0
"strh r1, [r8, -0x86] ",0
"mov r1, 0x1f ",0
"strh r1, [r8, -0x84] ",0
