inst,ground_truth
"andeq r0, r0, r3 ",1
invalid ,1
"andeq r0, r0, r0, asr r1 ",1
"andeq r0, r0, fp, ror 16 ",1
"muleq r0, r2, r1 ",1
"andeq r0, r0, r3, asr 32 ",1
"andeq r0, r0, r0, lsl 1 ",1
"andeq r0, r0, r0 ",1
"ldrdeq ip, sp, [r2], -ip ",1
"andeq r0, r0, r8 ",1
"andeq r1, r0, r4 ",1
"andeq sp, r2, r0, lsr 5 ",1
invalid ,1
"andeq r0, r0, r4, ror 10 ",1
"qdaddeq r6, fp, r3 ",1
"strdeq r0, r1, [r0], -pc ",1
"andeq r0, r0, r1 ",1
"andeq lr, r2, r4, lsl 11 ",1
"andeq r0, r0, r0 ",1
"andeq r0, r0, r0 ",1
"mov ip, sp ",0
"push {fp, ip, lr} ",0
"mov fp, ip ",0
"push {r0, r1, r2, r3, r4, r5, r6, r7, r8, sb, sl, fp, ip, lr} ",0
"ldr r8, [0x00001058] ",0
"strb r0, [r8] ",0
"ldrb r1, [r8] ",0
"str r0, [sp, -4]! ",0
"str sb, [sp, -4]! ",0
"ldr r8, [0x00001054] ",0
"mov sb, r8 ",0
"mov r0, r1 ",0
"str r1, [sp, -4]! ",0
"str sb, [sp, -4]! ",0
"str r8, [sp, -4]! ",0
"str lr, [sp, -4]! ",0
"ldr r8, [0x00001050] ",0
"ldr r8, [r8] ",0
"mov lr, pc ",0
"mov pc, r8 ",0
"mov r0, r0 ",0
pop {lr} ,0
pop {r8} ,0
pop {sb} ,0
pop {r1} ,0
pop {sb} ,0
pop {r0} ,0
"mov r1, r0 ",0
"ldr r8, [0x0000104c] ",0
"strb r1, [r8] ",0
"mov r1, 0 ",0
"ldr r8, [0x00001048] ",0
"strb r1, [r8] ",0
"mov r1, 0 ",0
"str r1, [r8, 0xbaa] ",0
"mov r1, 0 ",0
"str r1, [r8, 0xbae] ",0
"mov r1, 0 ",0
"strb r1, [r8, 1] ",0
"mov r1, 0 ",0
"str r1, [r8, 0xbb2] ",0
"mov r1, 0 ",0
"strb r1, [r8, 0x548] ",0
"mov r1, 0 ",0
"ldr r8, [0x00001044] ",0
"str r1, [r8] ",0
"mov r0, r0 ",0
"ldr r8, [0x00001044] ",0
"ldr r1, [r8] ",0
"ldr r2, [0x00001040] ",0
"cmp r1, r2 ",0
"movgt r1, 1 ",0
"movle r1, 0 ",0
