inst,ground_truth
54c46       invalid,1
"andeq r0, r1, r1, lsl 2",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"eoreq r0, r8, r2",1
"andeq r0, r0, r1",1
"andeq sb, r0, r8, lsr 26",1
"andeq r0, r0, r4, lsr r0",1
"andeq sp, r2, r0, asr sl",1
"streq r0, [r0, -2]",1
"eoreq r0, r0, r4, lsr r0",1
"eoreq r0, r8, r8",1
"eoreq r0, r3, r6, lsr 32",1
"andvc r0, r0, r1",1
"andeq r8, r0, ip, asr lr",1
"andeq r0, r1, ip, asr lr",1
"andeq r0, r1, ip, asr lr",1
"andeq r0, r0, r8, lsl r0",1
"andeq r0, r0, r8, lsl r0",1
"andeq r0, r0, r4",1
"andeq r0, r0, r4",1
"andeq r0, r0, r6",1
"andeq r0, r0, r4, lsr r0",1
"andeq r8, r0, r4, lsr r0",1
"andeq r8, r0, r4, lsr r0",1
"andeq r0, r0, r0, lsl 2",1
"andeq r0, r0, r0, lsl 2",1
"andeq r0, r0, r5",1
"andeq r0, r0, r4",1
"andeq r0, r0, r3",1
"andeq r0, r0, r4, lsr r1",1
"andeq r8, r0, r4, lsr r1",1
"andeq r8, r0, r4, lsr r1",1
"andeq r0, r0, r3, lsl r0",1
"andeq r0, r0, r3, lsl r0",1
"andeq r0, r0, r4",1
"andeq r0, r0, r1",1
"andeq r0, r0, r1",1
"andeq r0, r0, r0",1
"andeq r8, r0, r0",1
"andeq r8, r0, r0",1
"andeq r8, r0, r8, ror lr",1
"andeq r8, r0, r8, ror lr",1
"andeq r0, r0, r5",1
"andeq r8, r0, r0",1
"andeq r0, r0, r1",1
"andeq sb, r0, r0",1
"andeq sb, r1, r0",1
"andeq sb, r1, r0",1
"andeq r0, r0, r4, ror 4",1
"ldrdeq r0, r1, [r0], -ip",1
"andeq r0, r0, r6",1
"andeq r8, r0, r0",1
"andeq r0, r0, r2",1
"andeq sb, r0, ip",1
"andeq sb, r1, ip",1
"andeq sb, r1, ip",1
"strdeq r0, r1, [r0], -r0",1
"strdeq r0, r1, [r0], -r0",1
"andeq r0, r0, r6",1
"andeq r0, r0, r4",1
"andeq r0, r0, r4",1
"andeq r0, r0, r8, asr 2",1
"andeq r8, r0, r8, asr 2",1
"andeq r8, r0, r8, asr 2",1
"andeq r0, r0, r4, asr 32",1
"andeq r0, r0, r4, asr 32",1
"andeq r0, r0, r4",1
"andeq r0, r0, r4",1
"ldrbtvs lr, [r4], -0x551",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"andeq r0, r0, r6",1
"andeq r0, r0, r4",1
"rsbvs r6, sb, 0x2f00",1
"stclhs p12, c6, [r4, -0xbc]!",1
"strbvc r6, [lr, -0x96c]!",1
svcvs 0x732e78,1
"andeq r3, r0, lr, lsr 6",1
"andeq r0, r0, r4",1
"andeq r0, r0, r0, lsl r0",1
"andeq r0, r0, r1",1
"subseq r4, r5, r7, asr 28",1
"andeq r0, r0, r0",1
"andeq r0, r0, r2",1
"andeq r0, r0, r6",1
"andeq r0, r0, r0, lsl r0",1
"andeq r0, r0, r4",1
"andeq r0, r0, r4, lsl r0",1
"andeq r0, r0, r3",1
"subseq r4, r5, r7, asr 28",1
invalid,1
svcvc 0xefa1f0,1
"andpl r6, sb, ip, asr 24",1
"mrslo fp, spsr",1
"mcr p9, 7, sp, c12, c1, 7",1
"andeq r0, r0, r3, asr 32",1
"andeq r0, r0, r6",1
"andeq r0, r0, r0, lsl r0",1
"andeq r0, r0, sb",1
"strhteq ip, [r2], 0x92",1
