inst,ground_truth
54c46       invalid,1
"andeq r0, r1, r1, lsl 2",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"eoreq r0, r8, r2",1
"andeq r0, r0, r1",1
"andeq ip, r0, r0, lsr 3",1
"andeq r0, r0, r4, lsr r0",1
"andeq r7, r6, r8, ror sl",1
"streq r0, [r0, -2]",1
"eoreq r0, r0, r4, lsr r0",1
"eoreq r0, r8, r8",1
"eoreq r0, r3, r6, lsr 32",1
"andvc r0, r0, r1",1
"andeq r6, r1, r0, lsr 7",1
"andeq lr, r1, r0, lsr 7",1
"andeq lr, r1, r0, lsr 7",1
"andeq r0, r0, r8, lsl r0",1
"andeq r0, r0, r8, lsl r0",1
"andeq r0, r0, r4",1
"andeq r0, r0, r4",1
"andeq r0, r0, r6",1
"andeq r0, r0, r4, lsr r0",1
"andeq r8, r0, r4, lsr r0",1
"andeq r8, r0, r4, lsr r0",1
"andeq r0, r0, r0, lsl 2",1
"andeq r0, r0, r0, lsl 2",1
"andeq r0, r0, r5",1
"andeq r0, r0, r4",1
"andeq r0, r0, r3",1
"andeq r0, r0, r4, lsr r1",1
"andeq r8, r0, r4, lsr r1",1
"andeq r8, r0, r4, lsr r1",1
"andeq r0, r0, r3, lsl r0",1
"andeq r0, r0, r3, lsl r0",1
"andeq r0, r0, r4",1
"andeq r0, r0, r1",1
"andeq r0, r0, r1",1
"andeq r0, r0, r0",1
"andeq r8, r0, r0",1
"andeq r8, r0, r0",1
"strheq r6, [r1], -ip",1
"strheq r6, [r1], -ip",1
"andeq r0, r0, r5",1
"andeq r8, r0, r0",1
"andeq r0, r0, r1",1
"strheq r6, [r1], -ip",1
"strheq r6, [r2], -ip",1
"strheq r6, [r2], -ip",1
"andeq r0, r0, r4, lsl r4",1
"andeq r1, r0, ip, lsr 1",1
"andeq r0, r0, r6",1
"andeq r8, r0, r0",1
"andeq r0, r0, r2",1
"andeq r6, r1, r8, asr 7",1
"andeq r6, r2, r8, asr 7",1
"andeq r6, r2, r8, asr 7",1
"andeq r0, r0, r0, lsl 2",1
"andeq r0, r0, r0, lsl 2",1
"andeq r0, r0, r6",1
"andeq r0, r0, r4",1
"andeq r0, r0, r4",1
"andeq r0, r0, r8, asr 2",1
"andeq r8, r0, r8, asr 2",1
"andeq r8, r0, r8, asr 2",1
"andeq r0, r0, r4, asr 32",1
"andeq r0, r0, r4, asr 32",1
"andeq r0, r0, r4",1
"andeq r0, r0, r4",1
"ldrbtvs lr, [r4], -0x551",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"andeq r0, r0, r6",1
"andeq r0, r0, r4",1
"rsbvs r6, sb, 0x2f00",1
"stclhs p12, c6, [r4, -0xbc]!",1
"strbvc r6, [lr, -0x96c]!",1
svcvs 0x732e78,1
"andeq r3, r0, lr, lsr 6",1
"andeq r0, r0, r4",1
"andeq r0, r0, r0, lsl r0",1
"andeq r0, r0, r1",1
"subseq r4, r5, r7, asr 28",1
"andeq r0, r0, r0",1
"andeq r0, r0, r2",1
"andeq r0, r0, r6",1
"andeq r0, r0, r0, lsl r0",1
"andeq r0, r0, r4",1
"andeq r0, r0, r4, lsl r0",1
"andeq r0, r0, r3",1
"subseq r4, r5, r7, asr 28",1
bvc 0xfe6aabcc,1
"mcrpl p8, 2, r5, c15, c2, 7",1
"stmible sb, {r1, r2, r3, r5, r7, r8, sb, sl, fp, pc} ^",1
invalid,1
blvs 0xfe1929dc,1
"andeq r0, r0, r1, rrx",1
"andeq r0, r0, r6",1
"andeq r0, r0, r0, lsr 32",1
