inst,ground_truth
54c46       invalid,1
"andeq r0, r1, r1, lsl 2",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"eoreq r0, r8, r2",1
"andeq r0, r0, r1",1
"andeq r4, r1, r8, lsl 2",1
"andeq r0, r0, r4, lsr r0",1
"andeq sb, r0, r0, asr 5",1
"streq r0, [r0, -0x202]",1
"eoreq r0, r0, r4, lsr r0",1
"eoreq r0, r8, sb",1
"andseq r0, fp, ip, lsl r0",1
"andvc r0, r0, r1",1
"ldrdeq r8, sb, [r0], -ip",1
"ldrdeq r8, sb, [r1], -ip",1
"ldrdeq r8, sb, [r1], -ip",1
"andeq r0, r0, r8, lsr 1",1
"andeq r0, r0, r8, lsr 1",1
"andeq r0, r0, r4",1
"andeq r0, r0, r4",1
"andeq r0, r0, r6",1
"andeq r0, r0, r4, lsr r0",1
"andeq r0, r1, r4, lsr r0",1
"andeq r0, r1, r4, lsr r0",1
"andeq r0, r0, r0, lsr 2",1
"andeq r0, r0, r0, lsr 2",1
"andeq r0, r0, r5",1
"andeq r0, r0, r4",1
"andeq r0, r0, r3",1
"andeq r0, r0, r4, asr r1",1
"andeq r0, r1, r4, asr r1",1
"andeq r0, r1, r4, asr r1",1
"andeq r0, r0, r3, lsl r0",1
"andeq r0, r0, r3, lsl r0",1
"andeq r0, r0, r4",1
"andeq r0, r0, r1",1
"andeq r0, r0, r1",1
"andeq r0, r0, r0",1
"andeq r0, r1, r0",1
"andeq r0, r1, r0",1
"andeq r8, r0, r8, lsl 19",1
"andeq r8, r0, r8, lsl 19",1
"andeq r0, r0, r5",1
"andeq r0, r1, r0",1
"andeq r0, r0, r1",1
"andeq r8, r0, ip, lsr 29",1
"andeq r8, r2, ip, lsr 29",1
"andeq r8, r2, ip, lsr 29",1
"andeq r0, r0, ip, ror 5",1
"andeq r0, r0, r0, ror r5",1
"andeq r0, r0, r6",1
"andeq r0, r1, r0",1
"andeq r0, r0, r2",1
"andeq r8, r0, r0, asr 29",1
"andeq r8, r2, r0, asr 29",1
"andeq r8, r2, r0, asr 29",1
"andeq r0, r0, r0, asr 2",1
"andeq r0, r0, r0, asr 2",1
"andeq r0, r0, r6",1
"andeq r0, r0, r4",1
"andeq r0, r0, r4",1
"andeq r0, r0, r8, ror 2",1
"andeq r0, r1, r8, ror 2",1
"andeq r0, r1, r8, ror 2",1
"andeq r0, r0, r4, asr 32",1
"andeq r0, r0, r4, asr 32",1
"andeq r0, r0, r4",1
"andeq r0, r0, r4",1
"ldrbtvs lr, [r4], -0x551",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"andeq r0, r0, r0",1
"andeq r0, r0, r6",1
"andeq r0, r0, r0, lsl r0",1
"ldrbtvs lr, [r4], -0x552",1
"andeq r8, r0, ip, lsr 29",1
"andeq r8, r2, ip, lsr 29",1
"andeq r8, r2, ip, lsr 29",1
"andeq r0, r0, r4, asr r1",1
"andeq r0, r0, r4, asr r1",1
"andeq r0, r0, r4",1
"andeq r0, r0, r1",1
"rsbvs r6, sb, 0x2f00",1
"stclhs p12, c6, [r4, -0xbc]!",1
"strbvc r6, [lr, -0x96c]!",1
svcvs 0x732e78,1
"andeq r3, r0, lr, lsr 6",1
"andeq r0, r0, r4",1
"andeq r0, r0, r0, lsl r0",1
"andeq r0, r0, r1",1
"subseq r4, r5, r7, asr 28",1
"andeq r0, r0, r0",1
"andeq r0, r0, r2",1
"andeq r0, r0, r6",1
"andeq r0, r0, r0, lsr 32",1
"andeq r0, r0, r4",1
"andeq r0, r0, r4, lsl r0",1
"andeq r0, r0, r3",1
